Turnover at system price,NO1 Buy,NO1 Sell,NO2 Buy,NO2 Sell,NO3 Buy,NO3 Sell,NO4 Buy,NO4 Sell,NO5 Buy,NO5 Sell,SE1 Buy,SE1 Sell,SE2 Buy,SE2 Sell,SE3 Buy,SE3 Sell,SE4 Buy,SE4 Sell,FI Buy,FI Sell,DK1 Buy,DK1 Sell,DK2 Buy,DK2 Sell,EE Buy,EE Sell,ELE Buy,ELE Sell,LV Buy,LV Sell,LT Buy,LT Sell
40515.3,4726.7,3090.1,4237.6,4939.4,2402.7,1192.6,2039.5,2064.7,1535.9,1340.9,1301.5,3350.1,1752.1,4811.7,9931.1,10473,2983.7,587.8,6088,5256.3,1716.6,2144.5,1519.7,1164.2,1035.8,1140.3,344.2,59.5,,,692.2,692.2
38927,4635.7,2870.8,4188.5,4508,2382.8,1089,2020.8,1705.4,1521.3,1191.2,1298,2763,1707.1,4394.3,9643,10417.9,2687.2,883.8,6489.2,4945.6,1546.7,3174.6,1416.7,1773.6,991.7,1087.7,339.7,63.5,,,686,686
37677.1,4559.8,2790.4,4084.2,4693.4,2343.8,1119,1983.8,1740.8,1485.9,1196.8,1260,2117.6,1652.4,4350.1,9257.5,10424.9,2565.5,860.8,6366.3,4947.5,1411.7,2288.8,1316.2,1803.2,941.4,1112.4,300.1,82.9,,,689.9,689.9
36396.3,4398.9,2597.6,3571.7,3832,2284.8,1005,1955.7,1462.2,1594.4,1125.4,1214,1582.6,1606.2,3893.9,8938.3,10409.7,2443.9,1279.5,6079.7,4773,1310.7,3099.1,1208.4,1793,919.1,900.2,306.4,79,,,699.7,699.7
35844.5,4523.6,2637.2,3759.7,4214.3,2367.8,1022.5,1910.9,1505.1,1612.4,1138.2,1187.6,1502,1677.9,3322.5,8654.8,10309.2,2290.3,1245,5868.8,4708.5,1270.5,2786.6,1102.9,1832.8,880.9,955.4,293.7,222.5,,,710.1,710.1
35086.2,4426.8,2579,3595.6,3980.6,2368.1,1032.8,1875,1498.3,1561.4,1132.2,1173.4,1399.2,1641.9,3014.2,8495.4,10284.8,2253.3,1252.2,5688.6,4722.4,1238.1,2676.7,1040.6,1830,869,895.7,293.5,222.6,,,720,720
34763.3,4368.2,2485.3,3356.3,3837.5,2368,1045.7,1859.6,1479.5,1556.9,1098.6,1163.3,1363.2,1635.3,2951.3,8437.1,10287.3,2235.9,1244.2,5621,4709.9,1204,2564.9,1008.9,1837,852.9,834.5,291.1,219.6,,,717.5,717.5
34949.7,4350.5,2457.9,3360.8,3867.6,2351.9,1058.1,1850,1485.1,1557.2,1063.1,1169.6,1385.2,1644.5,3002.2,8533.7,10293.2,2245.9,1258.9,5729.7,4718.3,1197.1,2653.9,1011.3,1811.5,855.9,874.3,292.4,221.2,,,722.3,722.3
35678.1,4400.9,2529.4,3388.4,4278.7,2365.2,1061.8,1851.1,1480.4,1565.6,1115.8,1189.1,1464.4,1639,3018.2,8686.1,10311,2289.6,1255.9,6108.5,4734.7,1218.7,2687.8,1027.5,1794.4,889,970,303.4,219.6,,,738.3,738.3
37898.6,4603.2,2774.3,3517.8,4517.8,2438.5,1144.6,1872.8,1827.2,1569.2,1156.7,1212.7,1771,1657.4,3276.1,9174.1,10356.3,2444.3,1291.6,6960.3,4898.6,1352.4,3034,1113.4,1808.8,984.1,1190.4,362.1,214.9,,,782.5,782.5
41335.5,5116.6,3422.6,3902,5469.2,2542.3,1308.2,1952,2296.1,1691.3,1466.4,1265.4,2560.5,1589.8,4513.4,10087.1,10519.7,2756.6,690.8,7390.7,5407.1,1751.1,2868.6,1393,1181.7,1079.6,1254.7,519.8,78.3,,,803.8,803.8
47728.5,5737.4,4577.4,4856.6,7056.6,2608,1675.3,2132.8,2664.4,1712.7,1945.2,1322.3,3860.5,1758.9,5228.4,11243,10578.6,3701.9,856.2,7541.9,5593.3,2678.5,2596,2259.5,1223,1193.8,1375.2,554.2,71.4,,,844.4,844.4
49464.8,6021.1,4821.5,5072.4,7872.5,2690.5,1711.5,2224.1,2772.5,1752.1,2004.2,1339.2,4063.9,1767.9,5587,11649.8,10611.3,3852.8,653.4,7353.3,5678,2997,2442.2,2369.6,1236.8,1226.8,1309.7,509.6,61.7,,,862.2,862.2
49491.9,6014.5,4556.8,5058,8008,2726.4,1647.5,2252.8,3243.1,1753.8,1989.3,1351.3,4042.9,1774,5587,11611.6,10580.3,3869.2,646.2,7363,5623.6,2948,2306.4,2394.3,1250.8,1252.4,1376.2,553.2,64.4,,,870.1,870.1
49717.4,6003.1,4569.5,5052.7,8002.7,2716.2,1643.1,2253,3264.2,1749.2,2034.6,1354.1,4053.2,1791.5,5741.9,11783,10580.3,3951.7,654.1,7339.8,5606.5,2927.7,2301.8,2419.7,1254.8,1250.8,1378.5,561.1,68.4,,,876.2,876.2
49605.7,5987.9,4544.8,5023.3,7973.3,2707,1622.1,2242.6,3235.6,1751.1,1991.9,1368.9,4051,1762.2,5752.5,11811.7,10576.3,3968.1,662.6,7334.4,5575.8,2837.9,2311.6,2419.7,1282.3,1237,1362.7,553.6,62.9,,,875.6,875.6
49323.2,5972.1,4461.8,5012.8,7962.8,2692.6,1548.5,2207,3138.5,1743.3,1855.5,1383,4040,1753.7,5756.9,11815.6,10570.6,3920.6,669.1,7298.4,5608.8,2727.8,2368,2395.4,1306.8,1258.9,1379,553.1,68,,,878.7,878.7
49231.9,5900.5,4424,4996.1,7946.1,2700.3,1533.7,2217.1,3125.2,1735,1794.7,1401.7,4039.3,1758.6,5803.1,11797.9,10559.2,3950.3,681.9,7340.9,5562.1,2656.7,2416.6,2389.7,1323.9,1266.1,1378.1,482.2,5.2,,,873.5,873.5
49148.8,5904.2,4410.5,4991.6,7941.6,2703,1521.6,2230.4,3127.8,1736.3,1776.8,1435.6,4042,1819.2,5800,11858,10544.9,3649.9,696.7,7424.1,5539.1,2637.4,2380.7,2365.9,1338.9,1290.9,1377.2,469,17.7,,,869,869
50281,6011.7,4606.8,4992,7942,2716,1611.9,2261.2,3305.1,1744.3,2113.5,1462.4,4079.5,1937.1,5910.4,12242.2,10541.2,4039.8,695.9,7546.8,5661.8,2598.9,2452.1,2352.1,1349.3,1316,1374,451.8,28.8,,,864.9,864.9
51371,6108.6,5065.8,5016.4,7966.4,2714.9,1658.9,2227.7,3483.6,1757.9,2253.1,1467.3,4113.3,1950.2,5970,12500.1,10566.2,4497,707.1,7536.4,5654.2,2752.7,2592.3,2476.5,1339.8,1298.6,1374.3,446.6,5.9,,,853.9,853.9
51650.9,6076.1,5130.7,4988.8,7938.8,2691.6,1695.9,2192.2,3502.3,1747.7,2271.5,1466.9,4153.6,1937.2,5999.2,12548.4,10575.9,4468.2,706.5,7475.6,5726.9,3069.3,2628.4,2623.8,1321.1,1274.4,1375.1,471.7,6,,,838.2,838.2
50886.8,5914.4,4935.1,4953.2,7903.2,2647.6,1682.8,2168.6,3433.2,1724,2221.2,1452.2,4120.7,1904.9,5958.4,12385.9,10570.5,4381.3,717.3,7475.4,5707.1,2971.3,2321.1,2543,1316.2,1239.7,1375.7,514.6,13.6,,,816.9,816.9
49896.9,5829.8,4585.2,4909.7,7859.7,2625.6,1643,2127.9,3260.5,1726.8,2095,1424.6,4102.1,1896.5,5938.8,12064.1,10546.7,4333.4,719.8,7358.1,5689.6,2809.4,2139.3,2406.5,1297.7,1250,1377.2,510.6,18.4,,,796.2,796.2
47784.8,5671.7,4135.4,4835.2,7430.9,2604.1,1485.4,2099.1,3133.8,1828.5,1726.9,1379.7,4060.9,1788,5754.7,11554.7,10447.4,3810.2,718,7003.3,5495.6,2575.1,2153.2,2269.5,1241.9,1208.9,1337.6,523.6,29.9,,,780,780
45785.9,5494.3,3793.1,4762.7,6618.1,2579.7,1404.8,2056.4,3123.4,1800.1,1690.3,1363.6,4042.1,1680.6,5430.2,10993.9,10414.5,3336.4,1020.4,7227.4,5391.8,2314.8,1911.9,2146,1245.1,1149.6,1248.8,468.9,39.9,,,755.8,755.8
43912.8,5250.1,3631.3,4545.9,5868.3,2525.8,1289.3,1988.2,3077.6,1618.3,1925.4,1331.2,3383.4,1634,5047.6,10372.7,10416.3,3446,727.7,6953.3,5357.4,2092.9,1932.3,1998.6,1255.9,1072.5,1236.4,383.4,64,,,752.3,752.3
38949.9,4947.4,2935.5,4309.2,5175,2567.8,1131.9,1938.3,2533,1546.2,1259.3,1285.6,2389.8,1557.4,4259.5,9781.6,10309.7,2559.9,931.1,6445.2,4994.8,1459.6,2499,1261.5,1275.6,955.7,1180.1,326,67.1,,,723.1,723.1
36042.4,4600.9,2707.7,4063,4380.9,2388.1,969,1887.8,1482.6,1513.8,1147.1,1205.4,1581.4,1878.5,3865.4,9054.9,10333.3,2272.8,1291.6,5769.6,4987.8,1176,2403.3,1113.9,1869,864.7,1038.8,477.9,209.4,,,1212.5,1212.5
34968.3,4448.7,2664.5,3938.7,4214.9,2321.7,889.6,1857.5,1389.6,1486.2,1147.2,1190.3,1475.5,1859.5,3516.1,8831.8,10323.1,2207.3,1266.9,5581.4,4941.6,1126.2,2469.9,1054.3,1883.6,846.9,843.6,484.6,209,,,1329.7,1329.7
34421,4336.1,2624.3,3667.4,3937.8,2279.2,855,1831.2,1357.5,1487,1139.4,1188.2,1463,1857.5,3423.8,8736.3,10305.7,2178.9,1237.4,5509.9,4929.1,1082,2387,1027.4,1823.4,852.6,825.7,484.6,209.2,,,1328.5,1328.5
34396,4297.2,2635.2,3856.4,4054.6,2253.2,882.3,1823.1,1359,1480,1143.8,1206.4,1456.3,1865.9,3443.6,8712,10294.9,2169.5,1271.2,5596.2,4927.5,1065.4,2373.4,1021.4,1827.4,872.3,826.8,486.5,209.5,,,870.3,870.3
35073,4348.3,2566.5,3496.6,3747.3,2247.7,989.9,1829.1,1481.5,1492,1121.1,1244.3,1512.7,1896.3,3602,8812,10310.2,2207.7,1285,5899.5,4953.7,1105.5,2520.3,1039.3,1865.5,921.1,1001,493.4,76.1,,,752.4,752.4
