Turnover at system price,NO1 Buy,NO1 Sell,NO2 Buy,NO2 Sell,NO3 Buy,NO3 Sell,NO4 Buy,NO4 Sell,NO5 Buy,NO5 Sell,SE1 Buy,SE1 Sell,SE2 Buy,SE2 Sell,SE3 Buy,SE3 Sell,SE4 Buy,SE4 Sell,FI Buy,FI Sell,FRE Buy,FRE Sell,DK1 Buy,DK1 Sell,DK2 Buy,DK2 Sell,EE Buy,EE Sell,LV Buy,LV Sell,LT Buy,LT Sell
37403.9,4598.3,1988.8,4849.8,4758.9,2282.1,1096.4,1826.5,1312.2,2361.9,3173,1165,1009.3,1555.4,2405.4,7912.7,10564.2,2261.8,1609.7,5936.2,5172.8,,,1032.4,3103.7,1242.4,1571.2,742.4,890.3,691.2,171,1390.4,1021.6
36386.8,4478.3,1959,4786.3,4431.1,2261.4,1081.2,1799.7,1279.9,2346.1,3040.6,1140.8,992.5,1534.9,2044.1,7689.7,10491.1,2184.3,1587.1,5620,5039.6,,,950.4,2957,1196.1,1895.5,717.3,795.6,655.1,171.9,1409.2,1003.4
35575.8,4387.3,1931.4,4719,4328,2239.1,1064.1,1780.8,1255.8,2325,3010.9,1122,973,1512.4,1810.3,7515.7,10383.6,2130.2,1573,5467.6,4983.4,,,855.8,2777.6,1141.4,1901.6,697.6,790.2,626.1,174.6,1369.3,931.8
35035.3,4338.6,1924,4692.2,4275.4,2223.4,1047.4,1761.6,1237.6,2308.5,2986.9,1123.1,967.5,1498.2,1778.7,7356.8,10378,2069.3,1422,5415.7,4889.8,,,782.5,2674.6,1089.5,1870.4,687.8,783.9,609.7,179,1324.3,866
34890.3,4345.6,1921.5,4682.4,4264.5,2219.1,1045.9,1749.9,1223.1,2302,2986,1123.1,964.7,1496.4,1795.3,7328.2,10399.5,2043.7,1379.8,5490.2,4892.8,,,707,2683.2,1053.8,1755.6,681.1,783.9,612.1,184.1,1057.7,612.4
35413.2,4471.1,1958.5,4719,4345.8,2229.3,1059.5,1759,1228.8,2305.5,3027.3,1139.8,954.6,1520.6,1862.1,7462.4,10397.3,2072.7,1651.4,5628.9,4934.7,,,673.3,2524.3,1047.7,1882.7,694.7,786,631.6,187,858.2,413.8
36741.2,4924.5,2191.1,4778.6,4448.3,2258,1112.1,1798.6,1344.5,2341.5,3068.2,1152.2,977.3,1529.7,2047.2,7696.1,10512,2132.3,1423.6,5673.5,5167,,,726.4,2833.6,1092.1,1760.9,733,839.7,646.1,189.2,908.3,476.2
38101.9,5321.3,2333.9,4764.5,4297.6,2308.1,1143.4,1842.7,1407.4,2376.3,3283.9,1168.9,1279.2,1565.6,2361.4,8028,10569.4,2209.4,1315.6,5870.5,5269.7,,,751.2,2920.9,1132,1954.3,749.1,839.9,662.3,189.3,910.7,494.7
38743.2,5434,2320,4908.1,4395.3,2349.2,1153.6,1867.2,1412.8,2411.6,3389.1,1193.8,1396.7,1597.4,2442.2,8118.9,10570.9,2250.6,1328.9,5918.1,5364.6,,,772.8,3033.9,1154.1,1982,766.3,841.1,661.3,190.2,934.4,516.5
39239.6,5545.3,2330.8,5001.6,4406.2,2382.1,1193.1,1901.6,1440.6,2458.1,3492,1215.5,1568.1,1615.3,2514.5,8160.8,10519.1,2294.5,1419.3,6040.1,5391.8,,,807.1,3024.2,1213.1,2080,798.1,842.9,683.5,192.1,832.5,534.5
40277,5644.8,2371.5,5046.7,4584.1,2433.8,1267.9,1935.4,1451.3,2502.7,3538.6,1229.6,2101.1,1708.8,2654.7,8381.2,10459,2391.2,1428.9,6164.1,5387.9,,,911.3,3159,1296.9,2065.2,820.1,847.6,711.6,194.2,876.4,543.6
41118.5,5715.2,2345.5,5122.8,4714.5,2442.4,1286,1969.7,1476.1,2542.7,3569.7,1249.9,2490.2,1748.9,2872.2,8635.7,10416.1,2468.4,1426.5,6266,5348.4,,,923.7,3224.1,1353.8,2115.4,830.2,857,722.7,195.4,894.6,549.6
41316.5,5671.9,2342.8,5151.3,4681.1,2446.7,1300.8,1993.7,1489.6,2557,3553.3,1237.1,2532.4,1757.3,2936.6,8742.9,10417.4,2497.4,1429.3,6263.6,5373.4,,,929.1,3338.1,1393.5,2092.5,832.2,868,732.1,191.7,896.7,555.5
41385.5,5679.7,2334.7,5141.9,4586.3,2459.5,1309.4,2009,1509.1,2557.2,3524.8,1258,2533,1738.1,3058.9,8783.5,10397.1,2493.7,1427.9,6259.3,5410.6,,,939.9,3411.9,1402,2060.9,835.4,875.7,741.2,191.5,891.1,557.7
42058.8,5671.8,2327.2,5161.3,4567.4,2485.6,1326.4,2029.4,1538.6,2549.2,3507.7,1304.9,2724.6,1749.3,3427.5,8834,10588.9,2511.9,1330,6625.8,5362.5,,,965.4,3437.4,1420,2042.3,865,882.1,768.2,195.9,898,581.3
43153.7,5776.4,2393.4,5197.9,5094.3,2523.5,1333.5,2042.6,1582.6,2563.8,3727.3,1331.5,2746.7,1736.4,3508.2,9234.1,10645.3,2597.9,1334.3,6888.1,5363.9,,,1017.5,3489.5,1450,2025.2,919,923.5,839.2,199.4,986.9,737.7
44762.6,5857.7,2515.8,5236.8,5723.7,2533.5,1391.6,2030.9,1522.8,2594.6,4260.3,1349.5,2777.6,1769.3,3602.6,9602.8,10662.6,3277.8,1354.5,6949.3,5399.8,,,1136.2,3608.2,1601.1,2011.1,929.4,927.3,884.7,283.1,1052.6,765.2
44992.1,5818.1,2509.2,5200.7,5743.4,2513.3,1364.1,2029.7,1528.9,2590.1,4334.1,1355.1,2772.3,1745.6,3654.4,9551.2,10651.7,3365.7,1374.4,7020.1,5390.5,,,1278.9,3750.9,1705.8,1973.4,916.3,932.3,891.1,284.4,1052.6,770.3
44497.8,5724.8,2511.7,5176.4,5705,2507.8,1353.6,2002.3,1506.5,2574.7,4108,1349.2,2758.7,1692.2,3538.8,9455.7,10658.5,3315.7,1384.9,7017.4,5381.2,,,1190.7,3662.7,1693.5,1987.8,903.5,935.5,882.4,262.4,1037.5,768.5
43596.1,5611,2418.7,5115.8,5419,2487.2,1314.1,1978.7,1501.8,2554.6,3835.4,1327,2740,1742,3502.9,9238.8,10672.6,3231.9,1411.5,6927.8,5339.1,,,990.7,3462.7,1607.9,2024.2,876.5,936.9,870.9,270.2,1006.1,717.8
42194.4,5481.2,2418.9,5045.1,5106.7,2475.2,1282.1,1973.8,1566.9,2526.2,3716.1,1287.3,2026.1,1752.9,3463.1,8853.9,10687.3,3058.8,1444.5,6622.1,5336.6,,,869,3166,1503.9,2042.9,854.7,935.9,830.2,201.8,947.5,686.9
40620.7,5297.8,2397.1,4944.3,4601.9,2446.4,1175.7,1962,1632.7,2487.3,3523,1270.7,1924.8,1684.2,3164.7,8429.2,10638.8,2375.8,1479.2,6822.4,5273.4,,,780,3028.6,1420.2,1851.6,802.7,920.5,784,198.5,864.4,560.9
38886.3,4903.5,2148.8,4914.7,4460.4,2418,1162.9,1912.9,1568,2450,3505,1239.2,1434.6,1650.6,2735.6,7961.5,10598.8,2220,1716.5,6695.3,5221.5,,,712.2,2911.6,1307.9,1659.5,746.4,898,716.4,192.3,1186.3,821.4
36913,4678.6,2109.5,4781.1,4379,2359.1,1156.6,1857.7,1460.2,2386,3341.2,1192.6,1164.7,1553.6,2369.5,7461.6,10425.4,2093,1545.5,6251.3,5020.9,,,645.6,2669.9,1320,1676.7,697.4,847.5,674.3,197,1396.1,984.4
35493.3,4230.3,1887.7,4684,4342.5,2329.2,1190.4,1823.7,1262.5,2344.9,2842,1177.1,888.5,1482.8,1786.4,7228.4,10466.5,1918.3,1713,5882.6,4709,,,696.3,2555.3,1234.9,2089.9,668.6,856.4,630.1,210.4,1071,601.7
34399,4067.9,1887.1,4549,4182.5,2359.8,1161.6,1789.4,1287.6,2325.2,2778.5,1159.8,855.6,1461.6,1679.5,7042.1,10473.3,1868.3,1645.9,5665.7,4247.8,,,673.4,2501.4,1199,1971,650.1,848,592.6,199.1,841.2,526.2
33918.4,3984.4,1889.9,4416.2,4062.3,2334.9,1130.4,1761.4,1265.9,2294.3,2726.7,1148.3,840.1,1457,1518,6988.1,10465.7,1852.7,1659.1,5554.6,4210.2,,,663.4,2464.4,1181.8,1884.8,647,844.2,583.4,198.4,828.9,536.3
33568,3972.3,1811.3,4014.1,3883.7,2381.6,1139.6,1754.2,1296.2,2291.6,2579,1150.6,843.1,1458.1,1423.5,6918.5,10456,1871.7,1664.8,5593.8,4289,,,699.5,2623.9,1187.3,1751.9,653.2,842.2,583.5,203.1,822.6,545.3
34128.8,4023.9,1801,3863,3890.5,2409.7,1150.3,1765.9,1325.3,2291.7,2395.1,1174.8,868.8,1487.5,1599.9,7000.2,10592,1893.3,1669.2,5889.8,4428.1,,,725.4,2778.5,1206,1750.9,678.8,848.5,607.8,226.3,843.5,536.9
