Turnover at system price,NO1 Buy,NO1 Sell,NO2 Buy,NO2 Sell,NO3 Buy,NO3 Sell,NO4 Buy,NO4 Sell,NO5 Buy,NO5 Sell,SE1 Buy,SE1 Sell,SE2 Buy,SE2 Sell,SE3 Buy,SE3 Sell,SE4 Buy,SE4 Sell,FI Buy,FI Sell,DK1 Buy,DK1 Sell,DK2 Buy,DK2 Sell,EE Buy,EE Sell,LV Buy,LV Sell,LT Buy,LT Sell
37835.6,4166.6,1594.4,4506.4,4394.6,2224,1190.8,1968,2526.4,2079.9,3173.3,1211.8,1203.9,1747.6,5528.1,9546.9,10380.3,3289.8,1134.9,6106.3,4281.3,1148.3,3178.3,1306.6,1575.9,823.4,742.4,312.1,0,752.3,285.4
36445.6,4032.2,1556,4298.8,4035.5,2182.8,1090.2,1965.5,2397.6,2046,2990,1200.8,1105.8,1698.4,5089.1,9094.2,10371.1,2866.1,1067.8,5910.4,4076.4,1002.3,2961.3,1200.9,1607.9,757,679.4,296,0,742.1,265.4
34699.4,3836.3,1536,3714.6,3550.6,2161,872,1918.1,2185.3,2010.8,2713,1166.8,917.2,1651,4042.9,8649.7,10356.7,2390.4,1331.2,5504,3991.4,886.9,2808.9,1091.5,1499.5,713.8,669.2,409.7,0,633,263.7
33615.7,3769,1589.3,3625.5,3304.7,2134.2,829.5,1872.5,2118.7,1947.4,2681.8,1158.4,1016.3,1538.7,3026.5,8437.2,10339.1,2287.7,1320.5,5248.7,4239.3,715,2481.8,1040.3,1615.5,656.6,647.2,388.9,0,639.7,249.6
32924.2,3656.1,1601.8,3574.5,3457.4,2166.5,764.6,1849.7,2071.8,1924.8,2467.1,1151.4,981.4,1551,2657.3,8299.8,10286.6,2226.2,1347.3,5017.9,4228.7,752.3,2523.5,1022.7,1600.5,634.3,618.2,366.9,0,617.9,205.8
32610.6,3575.2,1596.4,3536.2,3360.5,2197,789,1832.6,2067.6,1911,2374.6,1144.7,952.4,1527.6,2589.2,8238.5,10317.4,2186.7,1335.7,4946.6,4222.9,810.5,2551.6,991.1,1545,626.3,600.7,345.2,0,634.7,200.9
32713.9,3569.8,1591.5,3535.2,3400.3,2192.3,807.7,1822.8,2069.5,1907.6,2406.8,1154,983.2,1545.8,2610.1,8255.5,10344.3,2197.9,1342.9,5017,4230.3,816.6,2380.5,988,1639.1,629.8,605.1,346.4,0,633.5,200.9
33267.5,3588.2,1620.2,3546.7,3552.7,2195.4,838.8,1828.2,2089.7,1905.5,2509.8,1177.6,1035.5,1528.9,2620.9,8341.2,10385.6,2239.2,1355.5,5377.2,4237.6,823.2,2463,1004.9,1658.1,656.5,624.3,386.7,0,634.6,242.3
35131.7,3784.7,1681.5,3619.8,3738.5,2233.3,1058.6,1845.5,2295.6,1956.3,2873.4,1213.9,1134.2,1581.9,2971.6,8728.2,10470.4,2352,1384.8,6183,4318.6,875.9,2689.6,1084.5,1672.8,719.7,660.1,361.4,0,793.1,383.5
38270.5,4241.3,1733.3,4032.9,4382.7,2275.7,1307.9,1947.9,2441.7,2066.5,3238.1,1254.9,1406,1692.4,3763.4,9422.6,10570.7,2906.7,1133.4,6550.8,4551.7,1133.2,3124.2,1311.8,1879.5,826.8,908,432.6,0,856.8,512.3
