Turnover at system price,NO1 Buy,NO1 Sell,NO2 Buy,NO2 Sell,NO3 Buy,NO3 Sell,NO4 Buy,NO4 Sell,NO5 Buy,NO5 Sell,SE1 Buy,SE1 Sell,SE2 Buy,SE2 Sell,SE3 Buy,SE3 Sell,SE4 Buy,SE4 Sell,FI Buy,FI Sell,FRE Buy,FRE Sell,DK1 Buy,DK1 Sell,DK2 Buy,DK2 Sell,EE Buy,EE Sell,LV Buy,LV Sell,LT Buy,LT Sell
40180.1,4187.9,1451.4,4564.4,7863.9,2355.9,1485.3,1827.5,2076.4,2347.9,3504.7,1236.3,2247.7,1599,3953.6,9000,9471,2687.5,776.2,6569.7,5107.6,0,0,1295.7,1417.7,1988.5,824.6,729.2,838.4,743.6,435.6,931.9,610.9
39293.8,4073.5,1451.8,4517.4,7573.3,2331.1,1383.4,1813,1994.2,2318.1,3386.9,1214.6,2178.5,1562.7,3754.5,8843.4,9450.6,2649.7,762.1,6326.6,5103.5,0,0,1238.4,1447.8,1945.9,807.2,694.1,834.2,708.3,434.3,884.8,559.3
38513.8,3988.8,1445.7,4467.1,7195.2,2311.4,1349.6,1797.6,1906.9,2302.3,3297.2,1199.5,2148.6,1535.4,3598.9,8710.5,9437.6,2583.8,750.1,6175.5,5106.1,0,0,1174.7,1483.5,1895.1,794.4,681.6,835,680.8,432.6,850.4,573.1
38126.8,3944.6,1441.5,4450.5,6963.3,2293.1,1333.7,1785.4,1851,2292.5,3259.6,1196.7,2125.6,1523.2,3528,8583.2,9412.5,2524,741.5,6146.3,5091.6,0,0,1115.1,1561,1847,817.5,675.7,832.8,659.6,432.1,939.1,584.3
37894.3,3946.1,1451,4429.1,6864.6,2284.8,1319.2,1776,1819.5,2278.2,3218.7,1210.5,2107.5,1525.1,3477.1,8505.7,9401.1,2487.3,732.7,6224.5,5070.6,0,0,1089.2,1587.7,1714.7,844.6,678,832.4,659.6,438.9,942.1,585.3
38542.2,4039,1457.6,4440,7198.9,2308,1339.2,1782.2,1911.1,2273.4,3315.8,1230.8,2129.7,1557.6,3557.7,8601.5,9395.6,2523.9,817.3,6462.8,5083.2,0,0,1114.5,1491.1,1711.8,845,696.4,827.2,680.6,440.7,972.6,585
39194,4591,1826.6,4047.7,6692.1,2342.3,1316.8,1807.8,1780.3,2302.5,3230.2,1246.6,2289.4,1664.9,4236.9,8851,9407,2587.5,813.1,6448.2,5335.8,0,140,1199.9,1386.9,1765.3,878.9,724.3,823,698.7,440.4,902.9,583.2
40686.6,4745.3,1866.2,4625.7,6896.9,2392.2,1320.9,1841.4,1824.1,2348.9,3254.2,1256.8,2807.5,1669.9,4587.9,9130.2,9629,2684.8,807.1,6590.4,5408.3,0,140,1192.8,1387.4,1804,897.1,758.6,821,705.1,439.9,920.6,579.2
41599.5,4818.9,1821.6,4712,6801.1,2499.3,1396.9,1863.1,1789.6,2386,3271,1280.1,3343.8,1669.3,5069.3,9341.2,9632.8,2870.6,805.3,6586.8,5442.5,0,140,1282,1333.6,1834.8,892,786.3,819.9,715.7,443.3,959.2,602.6
42345.4,4916,1820.5,4787.8,7191.2,2538,1434.5,1891.6,1852.6,2426.1,3357.6,1284.8,3435.3,1658.6,5194.3,9402,9657.6,3005.2,804.1,6678.7,5448.4,0,140,1377.4,1277.8,1887.7,871.5,821.5,819,740.9,443.9,990.7,658.7
43401.6,5043.1,1848.7,4823.5,7623.5,2567.6,1447.3,1924,1968,2464.3,3515.9,1314.8,3578.4,1629.9,5465.8,9647.5,9657.7,3224.4,796.6,6791.4,5462.1,0,140,1477.4,1183.1,1976.6,854.5,846.4,818.3,771.7,444.5,1034,732.2
44227.9,5123.7,1863.8,4903.8,8081.2,2528.6,1409.7,1954,2059.5,2500.2,3628.6,1314.4,3692.7,1642.6,5551.6,9928.4,9655.5,3372.6,791.4,6848.3,5575.6,0,140,1541.7,1106,2038.3,812.3,858.3,816,772.7,441.3,1060.1,762.5
45018.1,5161.3,1863.6,4944.7,8386.3,2544.4,1486.6,1975.9,2135.4,2525.5,3735.3,1311.8,3764.7,1621.5,5725.6,10078.5,9661.3,3407.3,787,6901.3,5589.2,0,140,1913.3,1077.9,2089.4,805.2,870.2,816,773.3,441.3,1067.3,770.3
45559.1,5182.8,1852.7,4963,8562.6,2555.9,1532.6,1998,2185.1,2544.9,3805.9,1326.1,3807.9,1621,5743,10178.5,9670.9,3614.3,783.7,6996.5,5554.1,0,140,1919.9,1235.8,2104.8,824.8,883,818.6,778.8,443.3,1066.9,773.4
46525.2,5201.9,1897.6,4991.3,8820.3,2577.2,1637.3,2016.8,2368.3,2553.8,3931.2,1348.7,3894.2,1659.2,5916.3,10336,9686.1,3862.1,779,7314.8,5602.3,0,140,1948.2,1170.5,2132.3,822.1,916.8,822.9,805.1,441.9,1083.7,817.9
48526.7,5278.7,1988.6,5029.9,8940.5,2690.6,1899.1,2023.9,2955,2588.9,4121,1378.5,4084.6,1739.6,6265.3,10692.9,9727.6,4072.5,775.7,7671.7,5735.9,0,140,2552.7,1259.8,2171.5,773.6,974.7,828.4,895.5,534.7,1166.5,898.3
49656,5348.4,2007.1,5102.6,9042.9,2710.8,2087.4,2009.9,3106.9,2603.2,4362,1403.7,4180.1,1731.5,6411.5,11004.9,9725,4276.5,815.5,7768.9,5773,0,140,2756.6,1359.9,2309.5,784.7,974,833.5,939.9,655.2,1224.6,880.3
50255.2,5317.4,2108.9,5098.4,9080,2704.1,2089.8,1997.5,3126.8,2591.9,4638.2,1410.9,4183.6,1743.4,6395.7,10985.5,9797.9,4295.8,824,7815.2,5787.4,0,140,3267.6,1421.5,2414.5,801.4,960.4,836.4,958.6,539.2,1217.2,1007.6
49852.8,5255.8,2097.5,5080.6,9056.3,2694.4,2113.7,1984.1,3165.5,2584.5,4419.3,1400.1,4203.7,1730.2,6255.9,10868.7,9732.9,4237.3,836.1,7805.9,5760.4,0,140,3212.2,1417,2404.4,794.5,944.8,839.2,949.5,529.4,1199.7,990.8
48578.6,5164.4,2023.7,5049.9,9003.1,2674.8,1863.1,1964.4,2915.6,2573.6,4091.3,1387.2,4080.3,1692.6,6100.8,10696.9,9665.1,4140.2,853,7599.1,5846.7,0,140,2755.5,1359.7,2309.4,776.2,922.6,841,917.9,502.7,1167.6,953.8
47260.7,5023.5,1976.2,4976.9,8804.7,2583.4,1659,1954.4,2756.8,2546.4,4042.2,1360.1,4010.6,1685.7,5840.8,10330.6,9619.6,4011.6,878.4,7420.9,5613.5,0,140,2623.9,1267.3,2199.8,791.6,896.6,842.1,893.1,440.2,1111.8,935.7
46222.3,4874.2,1991,4901.3,8732.3,2550.5,1561.2,1935.1,2478.5,2516.3,3956,1344.7,3891.6,1685.4,5644,9955.2,9611.5,3786,909.8,7627.9,5425.2,0,140,2443.4,1229.6,2104.2,790.8,849.6,841.3,845.8,441.7,1050.6,825.7
44461.6,4720.6,1908.5,4785,8446.1,2518,1404,1909.4,2181.2,2483.1,3749.9,1312.6,3781.6,1654,5273.1,9569.5,9423.2,3514.3,942.4,7505.9,5402,0,0,1891.7,1142.2,1994.2,800.2,806.9,839.8,778.4,439.2,1044.1,754.3
42342.8,4284.8,1624.8,4673.3,8021.8,2472.4,1298.9,1881,2077.4,2439.9,3550.4,1286.5,3272.4,1589.2,5055.6,9192.3,9429.5,3169.4,974.8,7159.5,5052,0,0,1740.6,1173.3,1902.7,811.9,759.1,836.9,692.5,434,1119.4,748.9
40813,4337.7,1360.8,4633,7954,2463.4,1316,1858.3,2003.3,2433.4,3517.5,1233.5,2676.6,1585.3,4220.2,8875.5,9439.1,2861.6,1025.6,6873.3,5141.2,0,0,1453.1,1485.8,1770,774.9,746.2,823.4,672.3,425.7,977.5,610
39685.1,4213.3,1352.5,4452.2,7385.5,2496.3,1183.4,1831.5,1857.6,2390.5,3283.4,1224,2385.2,1568.5,3887.3,8668.1,9438.2,2702.2,1070.5,6648.6,5108.9,0,0,1271.1,1903.8,1706.4,851.1,726.1,820.4,638.8,427.2,1049.4,632
