Turnover at system price,NO1 Buy,NO1 Sell,NO2 Buy,NO2 Sell,NO3 Buy,NO3 Sell,NO4 Buy,NO4 Sell,NO5 Buy,NO5 Sell,SE1 Buy,SE1 Sell,SE2 Buy,SE2 Sell,SE3 Buy,SE3 Sell,SE4 Buy,SE4 Sell,FI Buy,FI Sell,FRE Buy,FRE Sell,DK1 Buy,DK1 Sell,DK2 Buy,DK2 Sell,EE Buy,EE Sell,LV Buy,LV Sell,LT Buy,LT Sell
37909.1,4481.5,1505.4,3863.2,3780.8,3037,2086.4,1891.5,1242.1,1973.3,2560.8,1337.7,870.2,1552,2669.9,7403.5,10615,1974.1,1472.2,7225.8,6187.1,0,0,1991.5,3523.5,1135.8,1155.8,753.9,770.5,863.3,435.7,1355.5,1964.2
37082.7,4383.8,1509.2,4449.2,4114.8,3009.7,2038.5,1877.8,1249,1959.7,2706.7,1319.8,844.7,1546.5,2392.7,7274.1,10579.3,1893.4,1330.8,6936.1,5675.3,0,0,1536.8,3582.4,917.1,1046.9,723.7,771.6,833.6,427.1,1319.6,1711.9
36189.5,4313.3,1512.5,4407.3,4005.7,3013.5,1986.2,1855.8,1283.1,1951.8,2666.2,1307.9,843.7,1544.4,2204.1,7117.3,10582.4,1857.5,1435.7,6784,5569.8,0,0,1294,3042,880.6,1375.6,712.3,770.5,800.1,426.9,1285,1420.4
35464.9,4286.3,1514.9,3994.3,3711.8,3003.8,1949.7,1842.1,1296.2,1949.9,2499.8,1299.2,899.7,1564.6,2088.1,6953.7,10576.1,1799,1451.1,6757,5380.5,0,0,1304,3057,838.2,1346.2,712.8,765.5,782.9,425.5,1058.4,1184.1
35218.5,4297.3,1505.2,3673.8,3518.2,2994.5,1922.8,1839.1,1310.8,1951.5,2360.2,1300.5,1117.4,1593.1,2087.5,6917.8,10574.6,1808.4,1469.3,6838.4,5209.6,0,0,1295.8,3061.8,806.5,1343.5,716.7,758.6,777.1,425,1052.1,1198.1
35818.3,4394.9,1503,3668.4,3547.2,3012.8,1957.1,1850.2,1305.9,1983,2385.1,1314,1154.6,1584,2100.5,7028.7,10546.4,1842.2,1588.4,7065.8,5145.9,0,0,1311.6,3102.6,815.4,1411.4,721.5,754.1,768.3,424.6,1078.1,1512.1
36984.3,4580.4,1500,3839.3,3614.5,3036.7,2040.3,1884.3,1330.7,2003.1,2579.3,1320.7,1355.6,1741.4,2343,7208.5,10586.1,1958.6,1534.3,7247.9,5383.9,0,0,1365.2,3439.2,969.2,1361.2,739,749,790,433.2,1111.2,1545.2
38567,4828.7,1626.8,4427.6,3951.7,3075.6,2136,1923.6,1313.2,2042.1,2905.9,1319.7,1386.9,1768.5,2481.5,7454.2,10596.3,2036.8,1596.5,7524.9,5622.8,0,0,1434,3496.1,950.6,1452.5,763.9,913.9,796.9,433,1136.2,1570.2
38754.8,4966.9,1629.6,3849.3,3604.9,3191,2290.4,1922.5,1323.1,2065.8,2691.5,1345.4,1384.8,1779.4,2591.8,7715.6,10599.2,2088,1493.2,7615.9,6151.7,0,0,1471,3349,934.2,1728.2,779.2,843.1,790.4,432.9,1168.6,1569.8
39711.2,5042.5,1576.2,4179.9,3840.1,3212.8,2352,1953.4,1314.2,2094.7,2819.8,1356.2,1371.1,1822.9,2718.4,7946.9,10516.2,2138.9,1824.4,7732.2,6075.2,0,0,1451.9,3439.2,988.6,1819.3,809.1,722.7,819.9,432.1,1240.8,1969.8
