Turnover at system price,NO1 Buy,NO1 Sell,NO2 Buy,NO2 Sell,NO3 Buy,NO3 Sell,NO4 Buy,NO4 Sell,NO5 Buy,NO5 Sell,SE1 Buy,SE1 Sell,SE2 Buy,SE2 Sell,SE3 Buy,SE3 Sell,SE4 Buy,SE4 Sell,FI Buy,FI Sell,FRE Buy,FRE Sell,DK1 Buy,DK1 Sell,DK2 Buy,DK2 Sell,EE Buy,EE Sell,LV Buy,LV Sell,LT Buy,LT Sell
962979.3,117113.9,36893.1,101671.6,95138,77547.3,55707.9,47729.8,32519.2,50832.2,69508.3,33212,34358.3,45813.7,79047.5,195675.6,252704.5,52583.4,38112.2,183376.8,153319.3,0,0,35378.6,83233.3,26206.4,39680.1,19671.2,16915,20882.6,9939,30864.8,41499.9
1159437.5,138160.7,41818.1,114813.9,134716.3,85246.1,65215.6,52813.6,57187.3,56956.8,90668.5,37718.5,72954.4,46475.4,121775.9,249456.9,251131.7,77782.9,32165.2,207563.8,172685.2,0,0,52203.5,77572.9,36449.1,37188.5,23760,21870,20755.2,13790.4,37286.6,46785
1256698.7,135422.6,47680,118955.3,163173.1,83231.6,76809.2,50525.5,70498.8,56783.1,120557.6,37395.8,85047.3,51476.9,145344.8,273620.3,239580.3,92570.6,22356.2,228305.7,182869.7,0,0,71610.4,64639.8,45607.7,27492.6,24150,22507.5,22100.1,19033.7,40480.2,44750.8
1166200.5,125737.4,39853.8,114148.9,138564.2,81320,72474.7,48673.7,64103.6,54933.6,90639.5,36127.8,81531.6,46880.7,137953.7,248262.7,232360,87206.6,20119.8,218604.1,169966.7,0,0,40871.3,81467.4,39955.3,34127.7,25552.9,22880.5,22486.7,16980.7,44999.9,32741.8
1118875.1,107772.5,40112.7,108807,146128.6,78296.5,67563.8,46843.6,66781.1,51823.2,87387.2,36671.1,73341.2,49775.8,118020.2,239779.4,235699.8,79375.1,20030.9,215372.8,162089.5,0,0,49192.1,67330.9,38477.3,30062.4,24064.7,20509,20306.2,14356.3,38638.6,35893.2
1126034,110803.8,40306.8,108948.3,153373.2,76573.3,70296.3,46289.6,74078.9,51791.9,87811.3,34335.4,77701.6,42905.6,126795.6,244185.7,236242.7,89794.1,18176.5,202321.8,164550.4,0,0,60282.8,52484.7,44481.4,21383.1,24044.7,22557.8,20595.6,15847.9,36410.8,32177.8
1213829.1,145644.1,57252.1,115969,165046.5,82741.5,69262.8,49602.3,66964.7,56812.7,96065.3,34550.8,85699.7,50756.9,138412.5,262451.6,237319.1,91439.2,20800.9,205761.2,175166.2,0,0,50632.6,70302.6,42963.1,28755.3,25936.5,28787.8,23288.1,16778.1,46644.9,28661.1
1171011.5,147756.3,52106.2,109894,135938.9,83350.5,69605.2,49047.5,55535.1,56496.9,73721.3,36404.6,71670.2,49577.5,141122.2,247927.4,247633.6,86087.3,25198.6,209662.5,163652.6,0,0,35059.9,90082.7,35197.8,41147,26000.2,26579,23892.9,15565,44935.3,31884.1
1207202.1,151183.7,53016.6,118352.2,154202.3,85301.2,69029.2,49721.7,64988.6,58621.6,79788.2,37792.4,81653.4,49782.2,145050.5,259059.3,245602.1,87512.5,29860.8,210903.6,164023.6,0,0,39690.7,83520.8,36394,38717.5,27152.2,26811.2,24438.1,20896.8,47286.9,26166.6
1272869.6,156276.4,58341.6,121379,180846.2,84192.7,76481.2,45150.7,75566.6,57015.3,113612.6,35716.2,85287.7,51888.9,153326.5,274818.8,242762.9,106755.7,20856.9,216012.7,177222.4,0,0,69085.8,60820.8,41883.5,24982,27028.7,35400.6,24667.6,24229.2,44784.6,26919.4
