Turnover at system price,NO1 Buy,NO1 Sell,NO2 Buy,NO2 Sell,NO3 Buy,NO3 Sell,NO4 Buy,NO4 Sell,NO5 Buy,NO5 Sell,SE1 Buy,SE1 Sell,SE2 Buy,SE2 Sell,SE3 Buy,SE3 Sell,SE4 Buy,SE4 Sell,FI Buy,FI Sell,DK1 Buy,DK1 Sell,DK2 Buy,DK2 Sell,EE Buy,EE Sell,LV Buy,LV Sell,LT Buy,LT Sell
1276789.8,152139.7,47897.2,127662.5,185719.1,69847.6,44824.4,55716.3,74141.1,58985.2,128871.2,38389.7,82475.5,54386.3,134328.3,305149.9,272564.2,99996.4,39324,200694.8,142887.8,49943.5,73576.3,48436,40053.9,26504,30162,6093.7,5530.2,25529.7,17120.1
1302524.5,152056.5,49285.2,129091,196398.7,69594.5,50643.4,56472.8,84168.3,59416.5,140068.2,39948.3,87855.1,54498.9,137081.9,314645,272601.2,101790.1,29275.9,204797.7,147223,58749.2,66626.1,50758.9,36012,27177.8,33221.1,5267.9,5298.5,27456.3,15962.8
1305368.1,152798.7,51298.7,128984.9,202788.9,69621.7,50875.1,56547.1,81272.1,59887.5,139597.6,37343,88385.1,53657.1,140952,322647.9,263774.1,103090,24144.5,207682.7,152558.3,51475.8,67443.1,51723,36569.9,27501.9,31237.3,4844.2,6975.7,30288,20221.1
1301114.8,153891.6,50208.6,129656.9,192227.2,69474.6,49098.2,56578.3,81478.3,59960.3,131545.9,37335.9,88542.8,54237.3,146112.5,319900.8,264798.8,108107.6,23391.9,202227,149314.8,43337.1,76286.5,49135,39999.4,28399.3,31085.2,5029.5,4664.3,30306.2,18823
1292532.1,151883.2,50592.5,129685.4,192002.6,69665.9,48589.5,56158.2,81073.9,59923,131578.1,36550.6,84330.6,53969,146479.9,316457,264320.5,106266.8,27158.5,203357.1,148494.8,44423.8,72354.7,49534.2,39489.1,28730.2,33730.4,5102,1982.1,28929.2,18458.4
1177292.5,136114.7,46505.5,124236.4,158617.9,67219,40585.4,53376.5,67977.3,57052.7,112100.5,35379,67884.5,50802.3,139949.9,288980.7,265460.9,95807.8,29072.8,177374.4,135811.6,30617.5,77751.7,43325.9,38537.4,26618.3,27499.2,6195,2385,27956.6,10917.2
1126877,134924.6,45440.3,119861.5,147485.6,67240.7,34197.1,52989.9,64230.5,56265.5,99738.1,34725.8,59469.1,49176.6,134435.8,284111.1,265155.2,91114.3,35485,166944.9,133377.7,27194.4,78712.5,38074.8,45415.2,25222.7,25014.1,4638.3,1029.1,28922.6,12222.4
1234772.6,143841.8,46532.2,125892.2,173632,68707.6,43569.1,57292.9,71937.6,59995.1,112298.2,36477.7,82229.3,53197.8,141420.1,295092.5,269142,103005.9,36874.5,183339.6,141529.5,43114.1,76552.6,48159.8,40235.1,27606.5,29796.5,5837.4,0,28253,14065.2
1234424.3,142047.8,47387.6,128106,174004.5,67433.5,44521.3,56421.2,70204.8,59974.9,123219.6,34998.6,81203.7,51146.8,141643.5,290635.2,259639.7,104778,31331.9,185756.6,140115.8,41706.1,75486.5,50747.6,37198.2,26991.8,32088.9,7752.9,0,27131.6,17582.6
1253220.6,142242.5,48168.6,136959.2,186559.9,67774.9,44800.3,55854.6,69661.8,60158,124577.7,35446,75800.7,51579.4,138541.1,295204.5,260633.7,102053.6,35973.2,191610,142349,42768.3,79295.2,49494.7,38537,28059.4,29731.6,6900.9,0,28673.6,20149.8
