Turnover at system price,NO1 Buy,NO1 Sell,NO2 Buy,NO2 Sell,NO3 Buy,NO3 Sell,NO4 Buy,NO4 Sell,NO5 Buy,NO5 Sell,SE1 Buy,SE1 Sell,SE2 Buy,SE2 Sell,SE3 Buy,SE3 Sell,SE4 Buy,SE4 Sell,FI Buy,FI Sell,DK1 Buy,DK1 Sell,DK2 Buy,DK2 Sell,EE Buy,EE Sell,ELE Buy,ELE Sell,LV Buy,LV Sell,LT Buy,LT Sell
1115007.3,155494.5,72650.1,110725,145448.2,65560.4,30838.8,49753.3,75336.3,42115.1,37799.2,31920.5,67041.4,54261,121992.3,293731.7,266394.3,87637.8,31015.4,159128.9,151961.7,39898.9,77713.2,35689.2,51368.4,28430.1,30156.5,10670.2,5300.8,,,25222,25222
1232770.8,166125.9,103447.8,119159.5,170255.9,67421.6,37554.1,52219.3,85416.2,44276.3,42918.4,33584.5,83930,51335.6,129488.7,312807.3,269941.6,106547.7,30160.8,178888.5,150736.1,50973.6,80486.1,50013.9,49055.6,29854.8,38266.4,13272.6,4823.4,,,27862.7,27862.7
1264701.1,170844.5,114622.3,123316.1,183019.4,68673.6,40062.4,53787.3,87808.3,43833.7,46909.5,33519.4,89999.8,51662.5,136370.8,335697.7,270764.4,100643.8,28857.1,176292.4,156629.4,63786.6,69185,49735.5,44197.7,28715.1,38938.9,10435.4,3578.6,,,30680.8,30680.8
1283590.6,173729.4,120599.3,124753.9,191440.2,67771.8,44291.6,53770.6,90332.4,43168,48759.6,33602.5,95055.6,51802.4,137711.3,343229.2,271128.5,100042.9,24060.6,173317.4,161070.6,73642.6,61467.8,49978.6,40298.9,28297.8,39580.7,12078.9,3388.9,,,30731.8,30731.8
1282300.3,175852.3,123130.3,125489.2,188361.1,69070.5,44114.8,54398,91940.3,42873,51265.3,34665.2,93095.1,53464.5,142819.5,345365.1,270219.1,99117.3,24178.7,172777.5,159062.6,71477.9,58087.2,47181.5,40765.3,27708.5,39564.1,10462.9,3300,,,30867.9,30867.9
1267536.8,171020.4,120527.5,123400.1,185427.4,68494.1,44859.8,53099.3,89933.1,41146.6,50257.8,34206,88925.4,51492,140319.4,340199.2,270671.3,103881.2,24001.4,172239.6,151230.9,66833,63556.8,47506,42189.3,27360.8,38361.6,11431.2,2047.8,,,29632,29632
1116880.1,148217,82412.3,112587,147456.3,67102.5,34395.4,50318.3,77525.8,38904.8,37018.7,31723.7,72726.3,51077.4,116342.4,289983,259748.7,88021.5,32212.1,156713.6,140580,45072.1,76983.5,41675.6,45674.2,24576.7,33369.5,12363.2,1891.2,,,23581.4,23581.4
1032159.8,137134.7,72762.4,105494.2,130303.6,65058.6,29415,50212.9,72788.4,36925.7,31591.9,31974.9,68345.7,49285,99645.9,266600.8,253775.4,74751.8,31403.3,153080.8,130386.2,35874,74489.4,35072.1,50140.7,24048.5,29898.3,10758.4,1326.2,,,26793.8,26793.8
1135870.8,141848.9,89586,109563.4,156625.7,65082.4,33524.6,53349.2,76027.6,40316.7,37850.9,33024.3,82779.1,49026.3,123252.8,277675,264425.7,97422.4,25832.3,175502.6,127403.3,49878.7,72740,47343.9,45810.1,26022.8,40438.2,10771.4,531.7,,,25014.9,25014.9
1096684.4,133845.6,88659.9,107837.1,145409.8,65174.8,30092.3,53548.3,68392.1,38180,35212.2,32957.4,75532.7,49367.2,121327.9,279151.4,264091.1,89829.5,25804.2,165206.6,121846.2,46688.9,72986.3,42946.1,52740.7,26516.3,40804.7,11954,303.1,,,23745.8,23745.8
1052829.3,127630,78926,104942.5,140021.6,64254.5,25569.6,52208.5,62497.2,39353.8,28592.2,31860,73997.8,45002.9,114310.5,261513.6,267689.4,82518.5,26802.5,161750,117624.4,41917.8,71283.8,43835,46388.7,25326.6,40537.5,12311.8,184.3,,,22685.7,22685.7
1038212.4,134751.2,79439.2,107037.4,133174.7,64057,25820.5,51360.7,63618,38373.8,29713.7,30980,67929.9,43554.1,114408.8,263722.9,264534.9,76263.1,27786.5,160341.1,118779.7,42817.2,73372.6,38807.6,52476.3,26417.5,39357.6,12932.7,1003.9,,,26141.7,26141.7
1143210.9,142226.9,98433.7,112416,163862.1,62942.2,35881.4,50943.5,77135.4,38738.6,38943.9,31243.4,84749.6,46173.5,124269.9,293519.2,264357.2,99140.7,23363.7,162580,123317.2,60959.8,66530.7,46979.9,44222.8,26996.3,40357,12043.3,1478.7,,,22632.2,22632.2
1052574.2,137879.2,76339.9,105700.5,134086.9,62720.9,31060,48417,71666.6,36102.6,34321.4,29915.5,73114.9,43819.7,110750,274565.8,262902.9,80324.1,27503.7,153921.7,127021.7,43712.9,71324.1,39827.3,40485,25013.7,32683.1,11381.3,42,,,21156.4,21156.4
1026235,137536.2,71074.2,104269.8,127329.3,64390.8,27626.7,48879,70777.9,35980.6,31781.6,30010.9,63757.8,45090.6,106401,274903.1,260859.4,77872.4,29095.3,145654.9,128487.2,38000.4,79979.1,35536.1,45683.9,24893.4,30547.8,11247.3,864.3,,,21134.1,21134.1
1099068.9,144534.7,83435.8,111499.8,148590.1,65154.8,29724,51462.1,63932.3,37594.7,35410.9,31848.3,76122.8,45449.7,118910.9,281158.2,264945.5,86015.7,29326.1,170353.7,128821.3,42324.4,80856.4,42142.7,49491.2,26393.3,36745,12046.9,1666.7,,,24515.3,24515.3
1094920.5,146393.2,86880.2,112229.8,153770.1,65939.3,28315.2,51676.7,66049.2,37564.2,34730,31735.2,77606.3,46515.7,118728.7,269344.3,270022.7,86421.2,27463.9,166124.8,132449.1,47821.4,66183.8,42960.9,42128.8,24946.9,36939.9,13259.8,1665.5,,,24083.9,24083.9
1150838.8,142734.2,99451.3,115652.4,166141.6,62954.4,34975.2,52304.8,71416.7,37892.8,42203.6,31157.8,82290.9,46003.4,123833.6,280906.4,266770.3,97635.4,23398.6,170541.9,141088.8,68036.9,63949.8,48674.5,38158,26480.8,38541.7,12918.2,1673.8,,,22074.9,22074.9
1155509.4,144402.1,108353.3,115798.5,164751.5,64539.5,37193.5,52290.1,67527.6,39223.4,43272,33565.9,80874.4,46073.8,129356.4,279764.9,268357.3,99300.5,22424.7,164459.9,140779.8,67290.9,57285.3,50610.2,35820.2,27015.6,39124.3,12731.8,1946.8,,,23224.5,23224.5
1149421.1,143460.2,102649,117584.9,159568.5,66768.4,36739.8,51778.7,70829.2,38826.9,42604.2,34489.9,80905.4,48781.9,128136,279808,269742.4,96335.9,23682.3,165737,139566.8,62356.2,59598,50124,38121.7,25297.4,40557.1,13092.5,1741.5,,,23073.6,23073.6
1080238.1,141553.7,88554.1,112269.9,139810.5,67708.7,32862.7,49691.1,63354,37676,40879.6,31829.3,71559.3,47987.1,122229.1,264375.8,267609.7,88342.1,22680.2,144551.9,141264.9,56241.6,56374.4,42639,39030.9,23794.5,32540.2,11406.3,1317.4,,,21504,21504
1045883.1,142665.2,77607.8,110947,129530.1,69046,30549.5,49832.5,63779.6,37571.1,36170.4,32295.3,64475.9,46619.9,116420.3,269911.1,262402.4,79911,26138.1,137952.1,142750.3,44906.8,66666.8,36859.9,43379,22561.4,30498,10884.8,1595.9,,,21673.2,21673.2
1177552.1,160601.8,107342.8,115303.2,167810.8,67820.7,38152.5,53069.7,71801.3,40876,45164.1,34613.7,88299.1,48605.7,130247.1,303096.2,258271.6,95251.5,23693.8,157977.6,142083.5,56926.6,62125.7,45867.8,42295.6,24959.7,37415.2,12215.3,2482.4,,,23625.7,23625.7
1180568.8,154304,107720.9,119724,170721.2,66453.3,40633.6,51918.1,73345.6,40580.1,46598.6,33420.8,88876.4,46798.6,127974.5,297348.6,258578,100148.9,25677.9,158267.1,143876.8,64947.6,59322.4,50136,40774.7,26203.9,36417.8,12186.8,1919.4,,,23464.2,23464.2
1185605.8,149179.6,106885,118541,170512.4,65102,40661.1,51874.4,78135.6,40220.9,46018.5,33244.9,89741.2,47097.4,130781.2,297505.4,262116.4,97581.1,22386.4,158917.7,149206.2,81038,57609.7,49664.5,35502.9,25812.5,36896.7,12895.7,2221.8,,,25423,25423
1160879.5,146662.2,101268.5,113627.9,161364.3,65991.3,37190.9,51548.8,74913.5,39441,42952.8,31823.8,84959.9,47152.7,126075.5,293441.3,263272.1,101731.6,21665.7,159279.4,143361.4,58341.6,65967.9,49793.1,39526.1,26616.8,34000.8,13197.5,2129.6,,,23830.3,23830.3
1153240.9,143701.6,101317.7,115752.4,163363.3,64673.2,36653.8,50969.4,76694.5,41530.8,43724,30795.6,85979.6,45556.3,126801.6,283454,264597.7,98147.3,20735,159999.2,139332.3,69024.1,59059,49938.7,38797,27176.3,34964.4,12897.8,1596.8,,,23840.9,23840.9
1049465.2,126122.3,81855.1,110352.8,137650.5,63725.2,31723.3,47912.6,74639.3,39019,40118.4,28335.6,64493.1,43913.4,118499.6,252650.9,261663.7,83292.9,18089,145434.4,140362,66007.7,53290.1,43724.7,32882.2,25085.3,31709.3,12473.6,1074.8,,,20195.2,20195.2
994432.1,120463.6,70865.1,108937.9,120444.3,61666.3,29015.9,47439.4,70151.9,36874.3,34550.4,28952.8,61457.5,43941.8,108082.3,247569.6,265257.8,74275.5,22193.2,138385.5,136080.8,53056.8,51642.5,39303.1,34651.3,24434.2,31941.2,12861,1827.6,,,20815.5,20815.5
1128248.5,134392.4,88323.6,110305.3,156071.9,61451.5,33834.5,50848,74716,38447.2,40654,31392.4,80908.8,46023.5,123795.7,279133.1,266164.2,99187.7,22259.1,160295.6,143435.6,64879.9,61136.3,50587.7,38801.6,27060.1,35805.9,13628.3,1725.5,,,23249.4,23249.4
1109444.3,135721.8,87919.6,110943,154205.5,62719.9,31795.9,52099.3,72371.4,37938.1,40872.6,32350,76712.6,46401.2,116366.9,274266.4,258494,96378.2,27247.4,158217.2,141291.9,55385.9,62983.8,48539.3,42618.1,26806.4,36964.5,13071.3,993.8,,,22544.1,22544.1
1150167.7,142642.1,98221.4,113692.8,166268,62609.1,36184.6,51234.3,78721.4,38186.4,43338.1,33672.9,82709.3,45672.6,117704.1,291030.8,258205.9,99461.3,28506.4,166086.5,143636.6,58296.9,58090.3,49188.4,42130.4,27557.3,38340.7,14591,1865.2,,,24831.4,24831.4
1189547.9,152331,106696.1,115877.3,172132.5,62975.3,42494,50636.7,85280.1,39271.8,45976.1,33540.2,85658.6,46798.6,125171.7,307587.8,260404.3,103786.1,23875,164398.3,147710.5,65400.7,55830.5,49943.8,41404.9,28968.9,38731.3,11851,2001.9,,,22701.9,22701.9
1165331.9,153297.5,104039.4,116146.8,165147.5,61744.7,41095.9,50124.3,82111.1,40094.7,44441.6,32259.5,82153.5,44911.4,124998.3,299094.6,265238.6,99493.8,22859.6,161303.5,142929.2,61336.9,56082.8,48872.2,38699.7,28050.7,36851.1,13002.7,3085,,,23312.8,23312.8
1017544.9,131048.1,73304.2,111298.9,117931,61424.1,26639,47085.3,68383.2,37073.5,31208.6,28620.8,68647.5,44020.8,106926,269777.9,257682.1,77489,27586.4,144832.2,137976.4,41090.4,69656.8,37042.6,50794.1,26658,30242.3,11285.7,1769.7,,,23393.1,23393.1
975272.4,121818.4,65066.7,103875.1,110179.9,59721,26163.2,46361.9,61179.1,36307.1,27499.2,27904.1,63106.4,40714.6,92564.7,262696.7,260877.5,69124.3,31141.1,135660.4,132630.8,40630.4,70693.6,38087.6,48435.6,25892.4,27296.7,9985.1,1944.6,,,21612.1,21612.1
1106962.1,134957.4,86805.1,113169.7,145614.5,61060.5,32990.9,49060.2,73879,38848,37677.5,29276.7,82587.1,42531.8,119052.2,286987.1,265082,96025.3,25515.8,160853,133477.8,47266.9,63660.2,48840.5,44359.1,27168.9,37828.5,15107.9,2624.2,,,24963.6,24963.6
1108502.6,136372.7,90779.5,112184,151670.9,61344.3,38703,48316.9,78186.3,38166.6,36240,28817,88337.8,39439.4,124396.4,285924.6,262496.6,98900.9,20443.3,159200.9,136145.3,55001.3,49531.4,45402.5,32804.5,26185.6,37256.4,14464,2729.3,,,24028.3,24028.3
